017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
1|2|2|30|31|152|1241|120|1|1|0|9.25|4.5|0|0.0|0.0|0.0|146.0|22.0|18.0|19.6944|87.2548|58.7274|19.7614|13.712|5606.8616|84.4919|161.875|124.875|140.5482|87.0572|807.1069|501.6035|197.9452|15.0837|28900.0|3.9859|10.4261|1.6091|77.5676|13.563|0.5826|0.2264|0.669|0.0|234.0|152.0|5952.5026|-85.0|-40.0|2023-05-22T12:46:35.875|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|51F0EF87-FAF4-4C45-9F76-A89483846199
2|34|2|20|20|691|1506|109|1|1|0|9.25|4.5|0|0.0|0.0|0.0|78.0|11.0|10.0|10.4167|30.1421|29.4296|10.1478|9.7738|2007.4515|50.5566|60.125|50.875|54.7295|50.5566|278.8144|230.5988|147.3333|40.5531|11492.0|1.0|1.0|1.2091|225.1923|12.328|0.9365|0.8588|1.0|0.0|66.0|78.0|2007.4515|-80.0|0.0|2023-05-22T12:46:34.642|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|944F37F1-F56A-47B2-8B4B-9F07AA175689
3|56|2|23|21|1090|958|124|1|1|0|9.25|4.5|0|0.0|0.0|0.0|89.0|14.0|8.0|11.75|34.6274|33.7963|13.3455|8.7196|2537.6537|56.8422|87.875|37.0|67.0625|56.8422|320.3034|270.9908|130.1236|63.2118|11581.0|1.0721|1.0|1.182|237.9286|14.016|0.789|0.7402|0.8918|0.0|77.0|89.0|2537.6537|-55.0|45.0|2023-05-22T12:46:36.324|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|AE23860A-46A1-49B1-8666-98D2F2C1C5C7
4|81|2|22|17|667|1105|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|47.0|14.0|6.0|9.9722|29.8995|28.4785|13.4125|5.1874|1005.3594|35.778|87.875|27.75|50.6179|35.778|276.5704|221.8011|169.8298|55.7934|7982.0|1.5136|2.3251|1.2469|167.5926|14.344|0.6246|0.0|0.5787|0.0|42.0|47.0|1005.3594|-20.0|65.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|3595775B-1886-4F04-98B2-7683E47F044E
5|105|2|21|28|558|973|38|1|1|0|9.25|4.5|0|0.0|0.0|0.0|75.0|20.0|7.0|14.4722|45.2132|42.1174|21.5994|5.2332|1867.8088|48.7665|143.375|32.375|92.2429|48.7665|418.2221|347.961|208.2933|11.4575|15622.0|2.169|4.5966|1.2019|58.9744|4.375|0.4361|0.2225|0.3867|0.0|80.5|75.0|1867.8088|-70.0|15.0|2023-05-22T12:46:26.682|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|0C40D5A7-1BDB-4E09-8CD7-7A5D2E8AE9D8
6|128|2|23|25|711|800|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|73.0|17.0|10.0|13.9167|54.2843|40.7938|15.5667|8.6144|1776.0189|47.5531|115.625|50.875|87.1045|50.5566|502.1298|335.7176|187.7534|38.3866|13706.0|3.0064|7.308|1.4957|83.0|14.344|0.5772|0.3455|0.6275|0.0|97.5|78.0|2007.4515|-70.0|45.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|4C4DA70E-A4CB-4CD6-8E09-D7E32164D9F5
7|153|2|21|21|345|1161|78|1|1|0|9.25|4.5|0|0.0|0.0|0.0|92.0|12.0|10.0|11.3889|33.5563|32.4875|11.3855|10.3569|2686.7311|58.4881|69.375|50.875|63.7223|58.4881|310.3958|258.8844|147.6304|48.8809|13582.0|1.0|1.0|1.199|125.4483|8.86|0.9122|0.8455|0.9889|0.0|79.5|92.0|2686.7311|5.0|65.0|2023-05-22T12:46:31.169|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|53D81C76-3FF4-423F-B26B-9A3687FD0E6C
8|176|2|25|28|81|152|125|1|1|0|9.25|4.5|0|0.0|0.0|0.0|202.0|19.0|14.0|16.9722|52.8701|50.1722|18.7177|13.8392|8944.9991|106.7199|134.125|87.875|115.3679|106.7199|489.0484|422.4678|122.0743|53.3566|24659.0|1.1012|1.0|1.1576|125.9111|14.125|0.8176|0.8506|0.9493|0.0|186.0|202.0|8944.9991|-85.0|20.0|2023-05-22T12:46:36.436|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|FD2BB73D-9E0D-41E1-A6B7-B429CEE487B9
9|203|2|30|37|900|971|114|1|1|0|9.25|4.5|0|0.0|0.0|0.0|377.0|29.0|17.0|24.0|76.7696|72.6041|29.0447|16.9225|20367.0908|161.0347|226.625|115.625|180.375|161.0347|710.1188|629.9629|85.504|67.9044|32235.0|1.244|1.0|1.1272|220.6061|12.891|0.6294|0.7099|0.8496|0.0|361.0|377.0|20367.0908|-80.0|15.0|2023-05-22T12:46:35.203|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|C41DD2C4-D009-4CB1-ABED-A4E2020F0399
10|235|2|24|22|373|273|115|1|1|0|9.25|4.5|0|0.0|0.0|0.0|117.0|14.0|11.0|13.0278|39.2132|37.6684|13.2863|11.3679|3989.7985|71.2739|87.875|60.125|78.8821|71.2739|362.7221|306.8077|122.0684|54.608|14282.0|1.0458|1.0|1.1822|197.7576|13.0|0.8738|0.7097|0.9744|0.0|106.0|117.0|3989.7985|0.0|-80.0|2023-05-22T12:46:35.315|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|1B6114DA-C36D-4E82-83C5-3108709E3024
